2025-05-15 03:14:48,968 | text_processor | INFO | Configuration de NLTK
2025-05-15 03:14:53,825 | text_processor | INFO | Nettoyage du texte brut
2025-05-15 03:14:53,826 | text_processor | INFO | Texte nettoyé: 1363 → 1335 caractères (2.1% de réduction)
2025-05-15 03:14:58,938 | text_processor | INFO | Découpage du texte en segments d'environ 200 mots
2025-05-15 03:14:58,984 | text_processor | INFO | 2 segments créés (moyenne de 127.5 mots par segment)
2025-05-15 03:15:49,878 | text_processor | INFO | Configuration de NLTK
2025-05-15 03:15:53,222 | text_processor | INFO | Nettoyage du texte brut
2025-05-15 03:15:53,223 | text_processor | INFO | Texte nettoyé: 1363 → 1335 caractères (2.1% de réduction)
2025-05-15 03:15:57,217 | text_processor | INFO | Découpage du texte en segments d'environ 200 mots
2025-05-15 03:15:57,259 | text_processor | INFO | 2 segments créés (moyenne de 128.5 mots par segment)
2025-05-15 18:07:22,636 | text_processor | INFO | Configuration de NLTK
2025-05-15 18:07:33,791 | text_processor | INFO | Configuration de NLTK
2025-05-15 18:08:07,424 | text_processor | INFO | Configuration de NLTK
2025-05-15 18:08:13,172 | text_processor | INFO | Nettoyage du texte brut
2025-05-15 18:08:13,173 | text_processor | INFO | Texte nettoyé: 1543 → 1542 caractères (0.1% de réduction)
2025-05-15 18:08:19,007 | text_processor | INFO | Découpage du texte en segments d'environ 200 mots
2025-05-15 18:08:19,049 | text_processor | INFO | 2 segments créés (moyenne de 144.5 mots par segment)
2025-05-15 18:12:59,151 | text_processor | INFO | Configuration de NLTK
2025-05-15 18:13:03,168 | text_processor | INFO | Nettoyage du texte brut
2025-05-15 18:13:03,170 | text_processor | INFO | Texte nettoyé: 1543 → 1542 caractères (0.1% de réduction)
2025-05-15 18:13:08,554 | text_processor | INFO | Découpage du texte en segments d'environ 200 mots
2025-05-15 18:13:08,597 | text_processor | INFO | 2 segments créés (moyenne de 160.0 mots par segment)
2025-05-15 18:17:18,184 | text_processor | INFO | Configuration de NLTK
2025-05-15 18:17:22,447 | text_processor | INFO | Nettoyage du texte brut
2025-05-15 18:17:22,448 | text_processor | INFO | Texte nettoyé: 1543 → 1542 caractères (0.1% de réduction)
2025-05-15 18:17:31,061 | text_processor | INFO | Découpage du texte en segments d'environ 200 mots
2025-05-15 18:17:31,104 | text_processor | INFO | 2 segments créés (moyenne de 141.0 mots par segment)
2025-05-15 18:36:41,559 | text_processor | INFO | Configuration de NLTK
2025-05-15 18:36:48,900 | text_processor | INFO | Nettoyage du texte brut
2025-05-15 18:36:48,903 | text_processor | INFO | Texte nettoyé: 1838 → 1837 caractères (0.1% de réduction)
2025-05-15 18:36:55,351 | text_processor | INFO | Découpage du texte en segments d'environ 200 mots
2025-05-15 18:36:55,394 | text_processor | INFO | 3 segments créés (moyenne de 135.3 mots par segment)
2025-05-15 19:01:52,845 | text_processor | INFO | Configuration de NLTK
2025-05-15 19:02:45,970 | text_processor | INFO | Configuration de NLTK
2025-05-15 19:02:51,328 | text_processor | INFO | Nettoyage du texte brut
2025-05-15 19:02:51,329 | text_processor | INFO | Texte nettoyé: 1543 → 1542 caractères (0.1% de réduction)
2025-05-15 19:02:56,549 | text_processor | INFO | Découpage du texte en segments d'environ 200 mots
2025-05-15 19:02:56,592 | text_processor | INFO | 2 segments créés (moyenne de 160.5 mots par segment)
